# ============================================================
# LISTA MANUAL DE FONTES — itens sem drop automático
# ============================================================

# --- Mineração: gemas de Plains of Eidolon (Terra) ---
Sentirum | mineracao | Mineração em Plains of Eidolon (Terra) — veio raro (precisa de Sunpoint Plasma Drill)
Nyth | mineracao | Mineração em Plains of Eidolon (Terra) — veio raro (precisa de Sunpoint Plasma Drill)
Auroxium | mineracao | Mineração em Plains of Eidolon (Terra)
Amarast | mineracao | Mineração em Plains of Eidolon (Terra)

# --- Mineração: gemas de Orb Vallis (Vênus) ---
Thyst | mineracao | Mineração em Orb Vallis (Vênus) — veio raro (precisa de Sunpoint Plasma Drill)
Zodian | mineracao | Mineração em Orb Vallis (Vênus) — veio raro (precisa de Sunpoint Plasma Drill)

# --- Mineração: gemas de Cambion Drift (Deimos) ---
Embolos | mineracao | Mineração em Cambion Drift (Deimos) — veio raro
Xenorhast | mineracao | Mineração em Cambion Drift (Deimos) — veio raro

# --- Armas de Dojo sem material detectável automaticamente ---
Stug | dojo | Pesquisa no Dojo do clã (Laboratório Tenno)
Zenith | dojo | Pesquisa no Dojo do clã
Ohma | dojo | Pesquisa no Dojo do clã (Laboratório Tenno)

